S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
,,"Minimum entry age is 90 days, maximum is 70 years.Guaranteed Single Premium Plan term ranges from 5 to 30 years. Single premium starts at INR 1,00,000. Death benefit varies"
2,What are the basic eligibility criteria in thisGuaranteed Single Premium Plan (product at a glance)?,based on premiums paid.
,,"OnGuaranteed Single Premium Plan maturity, the Sum Assured on Maturity is paid as a lump sum or in instalments, calculated using the Guaranteed Maturity Multiple and SBI"
3,What do you get at the end of theGuaranteed Single Premium Plan term (maturity benefit)?,savings interest rate for annuity.
,,"Upon theGuaranteed Single Premium Planholder's death during theGuaranteed Single Premium Plan term, the nominee receives the higher of the Sum Assured on Death or"
4,What happens in case of life assured’s demise in thisGuaranteed Single Premium Plan (death benefit)?,"surrender value. The benefit can be paid as a lump sum or in instalments over five years, calculated using the SBI savings interest rate."
5,What is theGuaranteed Single Premium Plan term for IndiaFirst Life Guaranteed Single Premium Plan?,"TheGuaranteed Single Premium Plan term options are 5, 10, 15, 20, 25, or 30 years."
6,What is the minimum age required to enter theGuaranteed Single Premium Plan?,The minimum age at entry is 90 days.
7,What is the maximum age at which one can enter theGuaranteed Single Premium Plan?,The maximum age at entry is 70 years.
8,What is the maximum age of maturity for theGuaranteed Single Premium Plan?,The maximum age at maturity is 85 years.
9,What are the premium payment options available in thisGuaranteed Single Premium Plan?,ThisGuaranteed Single Premium Plan requires a single premium payment (Single Pay) before theGuaranteed Single Premium Plan starts.
10,What benefits are provided at the end of theGuaranteed Single Premium Plan term?,"At the end of theGuaranteed Single Premium Plan term, the Sum Assured on Maturity is paid, which can be taken as a lump sum or in instalments over 5 years."
11,Can I choose the amount of insurance cover?,"Yes, you can choose an insurance cover of either 1.25 times or 10 times the Single Premium, depending on your age at entry and premium amount."
,,"SAM is calculated as the Guaranteed Maturity Multiple (GMM) times the Single Premium, excluding any extra premiums. GMM varies based on the age of the life assured,"
12,How is the Sum Assured on Maturity (SAM) calculated?,"chosen Death Benefit Multiple, andGuaranteed Single Premium Plan term."
,,"If the life assured dies during theGuaranteed Single Premium Plan term, the nominee receives the higher of the Sum Assured on Death or the surrender value on the date of"
13,What happens if the life assured passes away during theGuaranteed Single Premium Plan term?,death. The benefit can be paid as a lump sum or in instalments over 5 years.
14,What is the current SBI savings bank interest rate used for calculating annuity factors?,The current SBI savings bank interest rate for FY 22-23 is 2.70% per annum. This rate is reviewed annually and may change with the SBI savings bank interest rate.
15,Are there any extra benefits for paying a higher premium?,"Yes, there is an enhancement in the maturity benefit factor for higher premium bands, which multiplies the Guaranteed Maturity Multiple."
16,Can thisGuaranteed Single Premium Plan be purchased online?,"Yes, the IndiaFirst Life Guaranteed Single Premium Plan can be purchased online for your convenience."
17,What is the minimum single premium amount for thisGuaranteed Single Premium Plan?,"The minimum single premium amount is INR 1,00,000 (excluding GST)."
18,Are there any restrictions on the maximum sum assured?,"No, there is no limit on the maximum sum assured, subject to the Board-approved underwritingGuaranteed Single Premium Plan."
,,"The instalment benefit amount is calculated by dividing the lump sum amount by the annuity factor, which is based on the SBI savings bank interest rate and remains level"
19,How is the instalment benefit amount calculated if I choose monthly instalments for maturity or death?,throughout the instalment period.
,,"For minor lives, the risk cover commences immediately once theGuaranteed Single Premium Plan is issued, and theGuaranteed Single Premium Plan will vest on the life assured"
20,When does the risk cover start for minor lives?,upon reaching the age of 18.
,,"Mr. Kumar, aged 40, purchased the IndiaFirst Life Guaranteed Single Premium Plan by paying a one-time premium of INR 10 lakhs for a 10-yearGuaranteed Single Premium Plan"
,,"term. At the end of the term, Mr. Kumar will receive a maturity benefit of INR 17,62,250. If Mr. Kumar dies during theGuaranteed Single Premium Plan term, his nominee(s) will"
,,receive a death benefit of INR 12.5 lakhs. The death benefit can be taken either as a lump sum or as income spread over five years. ThisGuaranteed Single Premium Plan ensures
21,How does thisGuaranteed Single Premium Plan work explain with a example?,financial security for Mr. Kumar’s loved ones while providing a substantial payout at maturity.
,,TheGuaranteed Single Premium Plan provides a maturity benefit at the end of theGuaranteed Single Premium Plan term or a death benefit if the life assured passes away during
22,How does theGuaranteed Single Premium Plan work?,"theGuaranteed Single Premium Plan term. Premium is paid once, and benefits can be received as a lump sum or in installments."
,,"The premium amount depends on the sum assured and theGuaranteed Single Premium Plan term chosen by theGuaranteed Single Premium Planholder. For instance, Mr. Kumar"
23,What is the premium amount for theGuaranteed Single Premium Plan?,paid a single premium of INR 10 lakhs for a 10-yearGuaranteed Single Premium Plan term.
,,"At the end of theGuaranteed Single Premium Plan term, you will receive a guaranteed maturity benefit, which is based on the Guaranteed Maturity Multiple and varies with age,"
24,What benefits do you receive at the end of theGuaranteed Single Premium Plan term?,"premium paid, andGuaranteed Single Premium Plan term."
,,"If theGuaranteed Single Premium Planholder dies during theGuaranteed Single Premium Plan term, the nominee(s) will receive a death benefit, which can be taken as a lump"
25,What happens if theGuaranteed Single Premium Planholder dies during theGuaranteed Single Premium Plan term?,sum or in installments over 5 years.
26,Are there any tax benefits for thisGuaranteed Single Premium Plan?,"Yes, tax benefits may be available on premiums paid and benefits received, subject to prevailing tax laws. It's recommended to consult a tax advisor for specific tax implications."
,,"Yes, you can take a loan against theGuaranteed Single Premium Plan. The loan amount can be up to 80% of the acquired surrender value, with a minimum loan amount of INR"
27,Can I take a loan against thisGuaranteed Single Premium Plan?,"25,000. The interest rate is subject to change annually."
28,What is the interest rate for theGuaranteed Single Premium Plan loan?,The current interest rate on the loan for FY 2022-23 is 9.50% per annum (simple interest). It may vary annually based on the 10-year G-Sec rate plus a margin.
,,"If the loan amount plus interest exceeds 90% of the surrender value, the insurer will notify theGuaranteed Single Premium Planholder to repay the loan partially or fully. If not"
29,What happens if the loan amount exceeds 90% of the surrender value?,"repaid, the loan will be adjusted before any benefit payments."
,,"Yes, you can surrender theGuaranteed Single Premium Plan. The surrender value will be the higher of the Guaranteed Surrender Value (GSV) or the Special Surrender Value"
30,Can I surrender theGuaranteed Single Premium Plan before the end of the term?,(SSV).
,,The GSV is calculated as the GSV factor multiplied by the total premiums paid. The GSV factor depends on theGuaranteed Single Premium Plan year of surrender andGuaranteed
31,How is the Guaranteed Surrender Value (GSV) calculated?,Single Premium Plan term.
32,What is the Special Surrender Value (SSV)?,"The SSV is calculated based on the sum assured on death and the sum assured on maturity, using SSV factors determined by the insurer and approved by the regulator."
,,"Yes, theGuaranteed Single Premium Plan has a free look period of 15 days from the date of receipt. If purchased through distance marketing or electronic mode, the free look"
33,Is there a free look period for theGuaranteed Single Premium Plan?,period is 30 days.
34,What happens if I cancel theGuaranteed Single Premium Plan within the free look period?,"If you cancel within the free look period, you'll receive a refund of the premium paid, minus the pro-rata risk premium, stamp duty, and any medical examination expenses."
,,"Distance marketing includes solicitation and sale of insurance through voice (telephone), SMS, electronic (email, internet), physical (postal mail), and other non-personal"
35,What is included in distance marketing for theGuaranteed Single Premium Plan?,communication means.
36,What is theGuaranteed Single Premium Plan term available?,"TheGuaranteed Single Premium Plan terms available are 5, 10, 15, 20, 25, and 30 years, depending on the choice of theGuaranteed Single Premium Planholder."
37,What is the minimum age for entry into theGuaranteed Single Premium Plan?,The minimum age for entry into theGuaranteed Single Premium Plan is 90 days.
38,What is the maximum age for entry into theGuaranteed Single Premium Plan?,The maximum age for entry into theGuaranteed Single Premium Plan is 70 years.
39,Can theGuaranteed Single Premium Plan be purchased online?,"Yes, the IndiaFirst Life Guaranteed Single Premium Plan can be purchased online at your convenience."
,,"Yes, for minors, the risk cover starts immediately uponGuaranteed Single Premium Plan issuance, and theGuaranteed Single Premium Plan vests in the life assured when they"
40,Does theGuaranteed Single Premium Plan cover the life assured immediately after issuance?,reach the age of 18.
,,"If theGuaranteed Single Premium Plan is not continued till maturity, it can be surrendered, and the surrender value will be paid. It's advisable to continue theGuaranteed Single"
41,What happens if theGuaranteed Single Premium Plan is not continued till maturity?,Premium Plan to enjoy full benefits.
,,"In case of suicide within 12 months from theGuaranteed Single Premium Plan commencement or revival, the nominee will receive 80% of the total premiums paid until the date"
42,What happens if the life assured commits suicide within 12 months ofGuaranteed Single Premium Plan inception?,"of death or the surrender value, whichever is higher."
43,Can a nominee be appointed under thisGuaranteed Single Premium Plan?,"Yes, theGuaranteed Single Premium Planholder can appoint a nominee as per Section 39 of the Insurance Act, 1938, as amended from time to time."
44,Can thisGuaranteed Single Premium Plan be assigned to another person?,"Yes, theGuaranteed Single Premium Plan can be assigned as per the provisions of Section 38 of the Insurance Act, 1938, as amended from time to time."
,,"No, accepting any rebate on theGuaranteed Single Premium Plan premium is prohibited under Section 41 of the Insurance Act, 1938, as amended from time to time. Violation"
45,Is it allowed to accept rebates on theGuaranteed Single Premium Plan premium?,can result in a penalty up to INR 10 lakhs.
,,"Providing false information can lead to theGuaranteed Single Premium Plan being questioned under Section 45 of the Insurance Act, 1938, within three years from the date of"
46,What happens if false information is provided at the time ofGuaranteed Single Premium Plan purchase?,"issuance, revival, or rider attachment, whichever is later."
,,"No, aGuaranteed Single Premium Plan cannot be questioned on any ground after three years from the date of issuance, revival, or rider attachment, whichever is later, except in"
